Semantic evaluation,User ID,Last comment checked
-1.0,6811,7
1.0,278,0
-1.0,3005,0
-1.0,394,0
-1.0,7021,0
0.0,5081,0
-1.0,5708,0
-1.0,1006,0
,5171,0
,2137,0
,9303,0
,3956,0
,1308,0
,2969,0
,7294,0
,5585,0
,3472,0
,2749,0
,1207,0
,9948,0
,5678,0
,7200,0
,8038,0
,2921,0
,603,0
,877,0
,9435,0
,7618,0
,8781,0
,5011,0
,3709,0
,5037,0
,7736,0
,502,0
,8902,0
,6832,0
,2176,0
,461,0
,8190,0
,3485,0
,4123,0
,4489,0
,2807,0
,4010,0
,4316,0
,1536,0
,2006,0
,9011,0
,5523,0
,38,0
,129,0
,9870,0
,7270,0
,3977,0
,6712,0
,1179,0
,8002,0
,5729,0
,670,0
,2495,0
,1929,0
,5810,0
,4292,0
,753,0
,7898,0
,2407,0
,3342,0
,1260,0
,2127,0
,9852,0
,503,0
,2867,0
,2204,0
,8556,0
,6427,0
,9381,0
,8164,0
,1736,0
,7046,0
,9618,0
,9230,0
,1697,0
,8204,0
,5516,0
,3408,0
,7475,0
,7094,0
,2922,0
,1451,0
,1053,0
,9802,0
,2702,0
,2952,0
,3340,0
,2457,0
,295,0
,8903,0
,533,0
,2891,0
,1316,0
,2824,0
,3099,0
,1951,0
,8587,0
,9092,0
,6558,0
,1286,0
,2263,0
,9079,0
,79,0
,3533,0
,153,0
,2425,0
,1531,0
,8131,0
,8562,0
,58,0
,9457,0
,1693,0
,3034,0
,8706,0
,1162,0
,3730,0
,4210,0
,4281,0
,9773,0
,366,0
,9930,0
,8768,0
,766,0
,7241,0
,9284,0
,7410,0
,1615,0
,1636,0
,1327,0
,962,0
,6604,0
,2437,0
,3504,0
,267,0
,8266,0
,7444,0
,4930,0
,6157,0
,1846,0
,4714,0
,3438,0
,4137,0
,8178,0
,2066,0
,4105,0
,1815,0
,7146,0
,3030,0
,5865,0
,9067,0
,6470,0
,7808,0
,8522,0
,7872,0
,7399,0
,3104,0
,7155,0
,6408,0
,3522,0
,7282,0
,6830,0
,2951,0
,6530,0
,2045,0
,2128,0
,3564,0
,7546,0
,3675,0
,5991,0
,3218,0
,1145,0
,1257,0
,9336,0
,3063,0
,9268,0
,724,0
,8196,0
,1164,0
,9821,0
,9184,0
,8094,0
,2230,0
,1113,0
,8530,0
,2586,0
,539,0
,4424,0
,9585,0
,4138,0
,5801,0
,3596,0
,4706,0
,9895,0
,8295,0
,3945,0
,8924,0
,110,0
,495,0
,5808,0
,3879,0
,5683,0
,6905,0
,6438,0
,351,0
,7170,0
,4903,0
,5535,0
,3780,0
,4865,0
,6066,0
,2162,0
,1417,0
,1713,0
,1368,0
,4271,0
,5542,0
,4353,0
,9282,0
,7716,0
,6076,0
,1776,0
,1944,0
,1592,0
,4291,0
,6121,0
,3481,0
,543,0
,1571,0
,409,0
,542,0
,4804,0
,3990,0
,1468,0
,8565,0
,8216,0
,5061,0
,6704,0
,7758,0
,3488,0
,6716,0
,67,0
,3556,0
,8910,0
,2233,0
,2240,0
,2217,0
,6127,0
,9366,0
,5001,0
,9416,0
,1762,0
,9949,0
,7236,0
,9065,0
,1472,0
,4090,0
,6146,0
,4842,0
,7909,0
,3453,0
,2924,0
,7624,0
,7285,0
,9557,0
,2,0
,5371,0
,7020,0
,8032,0
,7845,0
,9629,0
,6610,0
,6845,0
,6339,0
,3374,0
,4397,0
,6891,0
,9410,0
,7777,0
,3735,0
,5926,0
,7001,0
,5508,0
,5713,0
,1052,0
,4315,0
,6565,0
,4872,0
,6864,0
,314,0
,9964,0
,8982,0
,8607,0
,1616,0
,1582,0
,8975,0
,6346,0
,9942,0
,10024,0
,7642,0
,8237,0
,7814,0
,1730,0
,4166,0
,5161,0
,7664,0
,8638,0
,4588,0
,3779,0
,4067,0
,6522,0
,115,0
,8263,0
,525,0
,2732,0
,279,0
,9172,0
,224,0
,5916,0
,6685,0
,3400,0
,4639,0
,151,0
,2563,0
,6525,0
,5843,0
,7299,0
,6672,0
,3328,0
,8642,0
,4463,0
,7192,0
,2612,0
,171,0
,6763,0
,6927,0
,7125,0
,8467,0
,6372,0
,5289,0
,4275,0
,3484,0
,315,0
,1057,0
,6422,0
,6691,0
,9369,0
,517,0
,8949,0
,5928,0
,5254,0
,2199,0
,3578,0
,467,0
,3006,0
,1623,0
,912,0
,210,0
,2565,0
,4022,0
,30,0
,3739,0
,5194,0
,1896,0
,2078,0
,562,0
,1377,0
,2107,0
,9732,0
,810,0
,482,0
,9560,0
,4622,0
,3462,0
,3124,0
,7540,0
,9149,0
,3350,0
,5071,0
,6106,0
,7390,0
,3406,0
,5770,0
,4965,0
,1863,0
,7293,0
,7351,0
,567,0
,9931,0
,1577,0
,9324,0
,3550,0
,6886,0
,1587,0
,1613,0
,9454,0
,65,0
,4255,0
,7641,0
,6678,0
,4542,0
,5778,0
,1914,0
,9640,0
,262,0
,563,0
,2099,0
,387,0
,7573,0
,1261,0
,1388,0
,2241,0
,7905,0
,4355,0
,3733,0
,8374,0
,9690,0
,5955,0
,5662,0
,1912,0
,6247,0
,4562,0
,8648,0
,8755,0
